location,median_rent,monthly_chng
97203 ,"$1,295",-7.17%
97212 ,null,null
97209 ,"$1,959",-0.36%
97210 ,"$1,550",-1.15%
97217 ,"$1,695",-4.51%
Portland ,"$1,627",-0.34%
Portland ,"$1,627",-0.34%
Portland ,"$1,627",-0.34%
Portland ,"$1,627",-0.34%
Portland ,"$1,627",-0.34%
Pearl District ,"$2,020",-1.70%
Powellhurst Gilbert ,null,null
Buckman ,"$1,545",0.91%
Richmond ,null,null
Northwest ,"$1,730",-0.40%
Clackamas County ,"$1,566",-0.32%
Columbia County ,"$1,600",7.38%
Washington County ,"$1,475",0.17%
Clark County ,"$1,477",1.86%
Multnomah County ,"$1,585",-0.31%
Metzger ,null,null
Vancouver ,"$1,482",1.51%
Oak Hills ,"$1,558",-9.23%
Cedar Mill ,null,null
West Haven-Sylvan ,"$1,506",-1.31%
